SellerID	NFTID	IPFSHash	DecryptionKey	BasePrice	MedicalSpecialty	OriginalFile
SELLER_91AB06280D4F	NFT_91AB06280D4F	QmQX6VWs7w7b9sXXYbF8bmYnPpNJbkscQHTaaVoYWWBccw	4d4b9db639dc2568da526f80b845505e	101.41	Cardiology	nft-patient-ncky76dn.json
SELLER_EB8EE2CA043C	NFT_EB8EE2CA043C	Qmeqwz8nVrQnqtUB99xDbo4CXuCxEwFEzJHPaDT3gnjLG2	6793b4043e9251e6da7dec70c4df1988	89.77	Cardiology	nft-patient-e2qpx23d.json
SELLER_9DA45C5EA80B	NFT_9DA45C5EA80B	QmdraSNy19NYFnZfsh1XG44711P1eS77CKHLMqAHNVyyPs	9279b961d7ed75f00fbc571dfcf31d3e	100.42	Pulmonology	nft-patient-wa1f37us.json
SELLER_357CD4F87A5C	NFT_357CD4F87A5C	QmSf5YEQpWu9uG1cPt9jx4dK2h6Tf9xe681Df38D8j7ush	2744c91d9e40c54f2a41230375916a78	96.99	Cardiology	nft-patient-9xxw4gnb.json
SELLER_FF3EAC197738	NFT_FF3EAC197738	QmWYb5osTLaQsbX7D2gLLxoTHsYZv31gLAV8wJ6FTT7FQJ	af4a032f9f8895c26408bb7fcc3b2876	53.75	Neurology	nft-patient-uvsci867.json
SELLER_0F2F96B904FE	NFT_0F2F96B904FE	QmXpC36UwoiLRs7oBqmWvohzvbRGmoP8stgckkEH5euFdZ	44f6ed9f696df252e05d50792a87f6a6	89.95	Endocrinology	nft-patient-chfbo3eq.json
SELLER_BDA52969830C	NFT_BDA52969830C	QmPuCMdEH1mLxuo8AXw8XYPGuznC1Dbmn9vAzTVqSSqSTB	c00fdd23786adb2cf1cbbedebc31f422	60.06	Cardiology	nft-patient-wlydm5hh.json
SELLER_DDC18DF3A660	NFT_DDC18DF3A660	QmVE4AtxjEG2t5AxdcbtBmGcW9MmZGSXFd38krFa7P2eq8	add21811c771e948f56ca737738105bd	97.63	Pulmonology	nft-patient-6edfndq2.json
SELLER_6F6B687357E7	NFT_6F6B687357E7	QmPgQ7DnEpFx3xzAKhDh8GsZiEkQ63BqhwSQamfQjs1WrQ	af2e5fb074c0e2d37f5e078f2fad862d	78.91	Orthopedics	nft-patient-d8i0ecxn.json
SELLER_80EF4A10B6F0	NFT_80EF4A10B6F0	QmYoBnNeDfJubaZkhEUZaxafgkggKQCz9MuCPsQmDqEWsE	5948ca4a4cc2ab29ca55dc21b42a97ac	114.11	Cardiology	nft-patient-e1p711s3.json
SELLER_EB40B7D52013	NFT_EB40B7D52013	QmXgWGbZtXV2km7Gpv7E9TjrjWGMhepBW7hRYY6JhaMMB5	593b6f8939830e2b39f0e3134ad58ed2	112.06	Orthopedics	nft-patient-q9o2gllc.json
SELLER_D6217334EC32	NFT_D6217334EC32	QmcgxWgqMwwAJ4731GSeuf8CGBNNZ5ketW4sx9GSLo85GH	00ed87a2c9458d27daa4d0972d3a6f5e	51.06	Pulmonology	nft-patient-l7o84x0p.json
SELLER_E3360A76A7A2	NFT_E3360A76A7A2	QmeV4LztLoEdxXmZCh3V9L4TXhYdyRUKE4iMYR6hcM5MUt	4a6ad5899b0237d90783f5e93f665599	87.96	Neurology	nft-patient-5onkudj0.json
SELLER_60BB55DF6236	NFT_60BB55DF6236	QmeUoUK2WWjDQomTkTWVPZ42Nf3SnR7JABeThGh9ubPEmn	360ad036f9ee9c2b3513ce60ae952ba9	57.97	Dermatology	nft-patient-6tdxehbh.json
SELLER_DF9D33B8BE5F	NFT_DF9D33B8BE5F	QmeuPsZmLhTmXnQTQdoRxxC36sFF3xBZdCjd5LftXPuGFU	cdb7b0d59ebfa980c95044c91b86a4bb	102.42	Gastroenterology	nft-patient-9ryhc2kg.json
SELLER_0F976B81FE2B	NFT_0F976B81FE2B	QmcmNM8VZRcLSxeRtEZyFzUDDQN7ACND5Ww3sggrUjJbfn	105c04bf6115b0f43abaa3ef01a52799	99.2	Neurology	nft-patient-jafpi2cf.json
SELLER_9C168274570E	NFT_9C168274570E	QmZWBSoTQR339DuGi4WwptkxQiay53PD1GibCg84mqrGY8	a07a55ff99e2338828ab813556b13159	89.78	Orthopedics	nft-patient-ht3nbpoa.json
SELLER_D2974EC07251	NFT_D2974EC07251	QmU8gtdogmLSU2YgpcqtMgPMV9HakBu3wt8reW3sQnJRKm	a6b32637c602ea208ffcca0fd1ea8fcc	102.19	Endocrinology	nft-patient-jmk52iv2.json
SELLER_A33F2751300E	NFT_A33F2751300E	QmQdLPwjFfdCCiTdLMsJws7H3JQH4fYbiScwzhpnDHw8Ji	8ea41629d12e0a797dc3995119ca3cdc	57.04	Oncology	nft-patient-9kl4o6we.json
SELLER_6EB4C6AB2A4B	NFT_6EB4C6AB2A4B	QmehSGeQngPAz5Ye3sVDMEZkaGZECJWpT6DumMSf8esy28	0f28fe70739db5bd9e2ee661e9f0318d	102.58	Endocrinology	nft-patient-ieeg2oeq.json
SELLER_829EBA4A6252	NFT_829EBA4A6252	QmSiGubv47yoFZa9kaQKDFwr8nFkRFRkKA7pZMjAMPGk22	58dbd7aa0cc9a6dc4300ea34c0e74d7c	117.75	Cardiology	nft-patient-r7vs7g7e.json
SELLER_505291B3765A	NFT_505291B3765A	QmaQpqJKXrddpAhCS6tQGrE41QfQM5mF5QEoaNbhBw6jkA	a9e60017a574b093038f0defc723d071	89.95	Gastroenterology	nft-patient-49lydjbu.json
SELLER_28A73704732D	NFT_28A73704732D	QmSMANY69ChKJr5BmvpYPiLpvS1EZvGQbojRsbStFq24Wa	ecf6c8c8bb8998feca44259cc0e61b8e	84.64	Orthopedics	nft-patient-9ctgdcec.json
SELLER_6A50AB9DCC8B	NFT_6A50AB9DCC8B	QmNfLiBvsCYCRSNS8zCSwewkj89H9waxHbAbysAxjegcDq	96d2c811de7e1b0247ed89e7fea52b26	89.95	Dermatology	nft-patient-veln40kk.json
SELLER_7366681EAB64	NFT_7366681EAB64	QmfUxubFPnt5LeYamZUiaZnHtFLifErVARiaMF6RmhsKhE	0b62f4a0b7ad646a56669b8beaa7df6e	50.65	Dermatology	nft-patient-e5u85kjc.json
SELLER_ECDF6ADED757	NFT_ECDF6ADED757	QmZ2M3Xq7YwPqQTYfJrAPkYYeSqNRyWoMggPkLuWsKybCX	f6f2102593d3c9665b1e00d8c77d6ec0	112.69	Oncology	nft-patient-hsj9kl55.json
SELLER_B11F92C9DE59	NFT_B11F92C9DE59	QmW57cCVeSfBFMQzEnHhmsBw1F3zSmCoXQw7yXtqvKeruF	713c6b9a57c2c79b77cf129bc6177e19	56.47	Endocrinology	nft-patient-m0yl9q06.json
SELLER_35AC4A73BD5E	NFT_35AC4A73BD5E	Qmeag8NNNXbC1rciFeP3wY2h1XqjATMEXYsktVTuLdfDpj	fbd2977cdb4dae9050749ef5e264ee32	92.89	Cardiology	nft-patient-w77sd2qc.json
SELLER_C66E1A52AFE1	NFT_C66E1A52AFE1	QmQGJcnAouwr7yWaQsMrZhaxwEuhK2EHdR5XbfAWJaNEEn	5bc1630d36e166d1b482112c2f6bad14	85.01	Cardiology	nft-patient-yhbeefnn.json
SELLER_D806DF2CF9FD	NFT_D806DF2CF9FD	QmVymVL3adEHDf4YszBotqryf7TX6JRmxGUFwjHcEpkHHX	f93ef1b596429fe0e5be36e08eae96e5	104.28	Cardiology	nft-patient-rar3vp7p.json
SELLER_0802ABE2BD47	NFT_0802ABE2BD47	QmUR9wFPgiemAQAy7YwFK4QTjGwJXzgwKmM1HB2G8HQvhg	9cfbf8e6968fa2821b14e660963bf570	116.82	Cardiology	nft-patient-1ffvfxmz.json
SELLER_1D5B515C4107	NFT_1D5B515C4107	QmNmxc9gTASfk6tiPANAG8SDjKyt9A6jmDUTppW3e8hybt	28ab1d73121f8c00ca901099ee2bcc74	82.81	Pulmonology	nft-patient-nt5ch3px.json
SELLER_6258BA4DB911	NFT_6258BA4DB911	Qme9p7zqPtN5W1qVLgQjvCaTa4FAXy5nyQLuDwqF3QKqqQ	cd5ddeb803436e9d2120bc3b43d69c4a	50.0	Oncology	nft-patient-mikur7rx.json
SELLER_17F3F1ECCD53	NFT_17F3F1ECCD53	QmeinDYzob4RzZcriKEkchXNi1okUv8LYinzgmSEJcicAi	1c634950d519d49b8f3abccea52b185a	77.92	Dermatology	nft-patient-69kemhic.json
SELLER_DCB234E7D69C	NFT_DCB234E7D69C	QmR4gB7BVRu3ozwtyogCM3mBVFnzt1YLKSHZ3ruTuMCdSF	1fba669310d834ffec224be770f3f08f	58.2	Oncology	nft-patient-d2yskfhk.json
SELLER_577E3BF15AB0	NFT_577E3BF15AB0	QmceZLkawxJMfGcvquCFZHnEL4qziPeChHSGPZhB4oCF8g	f4aef650b766960e352ac82cb5f3e4db	112.34	Orthopedics	nft-patient-7jha13fq.json
SELLER_B31B47DBC188	NFT_B31B47DBC188	QmQ1qTXnD5ZwfiSwYPjDB3MkUtdumykpPLLvPaqnbjASEu	7539f8218802f18609f1147536ccb2a0	83.53	Pulmonology	nft-patient-0r0n90pu.json
SELLER_DBCFB6BAD0A0	NFT_DBCFB6BAD0A0	Qmc2fpoDirEfhEkB2C4ZYsJ94dAwhq2HJdypVLrd8qSGgH	47e51597462d111b7c91f5aae18d73d7	78.68	Cardiology	nft-patient-fflxw1ek.json
SELLER_705E8410EC50	NFT_705E8410EC50	QmX7E1VpSvrn2rJ4F75FdUSWTk3ygJZu8wjA2PougDgp3J	1a7dd5295a753ee2e4da58d44655f4c1	80.3	Oncology	nft-patient-mrd4ltki.json
SELLER_B90238D1B785	NFT_B90238D1B785	QmVFamu51ZtvzLMeKhC38BBntBwAbqzKnNawid7pfoT5j2	7fe45e0e0af5ed99c622918098f406ef	92.78	Pulmonology	nft-patient-55x39v3f.json
SELLER_186708D2B168	NFT_186708D2B168	QmNh7jbTLppG52UT2vbD6FiybsvAakx8HGu6F9xx6rj5Ep	63b7191dcd5c07f589fb54ac4f5f325b	80.0	Neurology	nft-patient-eb454z32.json
